lower,upper,single,mfj,mfs,hoh
51151,51251,1607,802,1607,802
51251,51351,1613,804,1613,804
51351,51451,1619,806,1619,806
51451,51551,1625,808,1625,808
51551,51651,1631,810,1631,810
51651,51751,1637,812,1637,812
51751,51851,1643,814,1643,814
51851,51951,1649,816,1649,816
51951,52051,1655,818,1655,818
52051,52151,1661,820,1661,820
52151,52251,1667,822,1667,822
52251,52351,1673,824,1673,824
52351,52451,1679,826,1679,826
52451,52551,1685,828,1685,828
52551,52651,1691,832,1691,832
52651,52751,1697,836,1697,836
52751,52851,1703,840,1703,840
52851,52951,1709,844,1709,844
52951,53051,1715,848,1715,848
53051,53151,1721,852,1721,852
53151,53251,1727,856,1727,856
53251,53351,1733,860,1733,860
53351,53451,1739,864,1739,864
53451,53551,1745,868,1745,868
53551,53651,1751,872,1751,872
53651,53751,1757,876,1757,876
53751,53851,1763,880,1763,880
53851,53951,1769,884,1769,884
53951,54051,1775,888,1775,888
54051,54151,1781,892,1781,892
54151,54251,1787,896,1787,896
54251,54351,1793,900,1793,900
54351,54451,1799,904,1799,904
54451,54551,1805,908,1805,908
54551,54651,1811,912,1811,912
54651,54751,1817,916,1817,916
54751,54851,1823,920,1823,920
54851,54951,1829,924,1829,924
54951,55051,1835,928,1835,928
55051,55151,1841,932,1841,932
55151,55251,1847,936,1847,936
55251,55351,1853,940,1853,940
55351,55451,1859,944,1859,944
55451,55551,1865,948,1865,948
55551,55651,1871,952,1871,952
55651,55751,1877,956,1877,956
55751,55851,1883,960,1883,960
55851,55951,1889,964,1889,964
55951,56051,1895,968,1895,968
56051,56151,1901,972,1901,972
56151,56251,1907,976,1907,976
56251,56351,1913,980,1913,980
56351,56451,1919,984,1919,984
56451,56551,1925,988,1925,988
56551,56651,1931,992,1931,992
56651,56751,1937,996,1937,996
56751,56851,1943,1000,1943,1000
56851,56951,1949,1004,1949,1004
56951,57051,1955,1008,1955,1008
57051,57151,1961,1012,1961,1012
57151,57251,1967,1016,1967,1016
57251,57351,1973,1020,1973,1020
57351,57451,1979,1024,1979,1024
57451,57551,1985,1028,1985,1028
57551,57651,1992,1032,1992,1032
57651,57751,2000,1036,2000,1036
57751,57851,2008,1040,2008,1040
57851,57951,2016,1044,2016,1044
57951,58051,2024,1048,2024,1048
58051,58151,2032,1052,2032,1052
58151,58251,2040,1056,2040,1056
58251,58351,2048,1060,2048,1060
58351,58451,2056,1064,2056,1064
58451,58551,2064,1068,2064,1068
58551,58651,2072,1072,2072,1072
58651,58751,2080,1076,2080,1076
58751,58851,2088,1080,2088,1080
58851,58951,2096,1084,2096,1084
58951,59051,2104,1088,2104,1088
59051,59151,2112,1092,2112,1092
59151,59251,2120,1096,2120,1096
59251,59351,2128,1100,2128,1100
59351,59451,2136,1104,2136,1104
59451,59551,2144,1108,2144,1108
59551,59651,2152,1112,2152,1112
59651,59751,2160,1116,2160,1116
59751,59851,2168,1120,2168,1120
59851,59951,2176,1124,2176,1124
59951,60051,2184,1128,2184,1128
60051,60151,2192,1132,2192,1132
60151,60251,2200,1136,2200,1136
60251,60351,2208,1140,2208,1140
60351,60451,2216,1144,2216,1144
60451,60551,2224,1148,2224,1148
60551,60651,2232,1152,2232,1152
60651,60751,2240,1156,2240,1156
60751,60851,2248,1160,2248,1160
60851,60951,2256,1164,2256,1164
60951,61051,2264,1168,2264,1168
61051,61151,2272,1172,2272,1172
61151,61251,2280,1176,2280,1176
61251,61351,2288,1180,2288,1180
61351,61451,2296,1184,2296,1184
61451,61551,2304,1188,2304,1188
61551,61651,2312,1192,2312,1192
61651,61751,2320,1196,2320,1196
61751,61851,2328,1200,2328,1200
61851,61951,2336,1204,2336,1204
61951,62051,2344,1208,2344,1208
62051,62151,2352,1212,2352,1212
62151,62251,2360,1216,2360,1216
62251,62351,2368,1220,2368,1220
62351,62451,2376,1224,2376,1224
62451,62551,2384,1228,2384,1228
62551,62651,2392,1232,2392,1232
62651,62751,2400,1236,2400,1236
62751,62851,2408,1240,2408,1240
62851,62951,2416,1244,2416,1244
62951,63051,2424,1248,2424,1248
63051,63151,2432,1252,2432,1252
63151,63251,2440,1256,2440,1256
63251,63351,2448,1260,2448,1260
63351,63451,2456,1264,2456,1264
63451,63551,2464,1268,2464,1268
63551,63651,2472,1272,2472,1272
63651,63751,2480,1276,2480,1276
63751,63851,2488,1280,2488,1280
63851,63951,2496,1284,2496,1284
63951,64051,2504,1288,2504,1288
64051,64151,2512,1292,2512,1292
64151,64251,2520,1296,2520,1296
64251,64351,2528,1300,2528,1300
64351,64451,2536,1304,2536,1304
64451,64551,2544,1308,2544,1308
64551,64651,2552,1312,2552,1312
64651,64751,2560,1316,2560,1316
64751,64851,2568,1320,2568,1320
64851,64951,2576,1324,2576,1324
64951,65051,2584,1328,2584,1328
65051,65151,2592,1332,2592,1332
65151,65251,2600,1336,2600,1336
65251,65351,2608,1340,2608,1340
65351,65451,2616,1344,2616,1344
65451,65551,2624,1348,2624,1348
65551,65651,2632,1352,2632,1352
65651,65751,2640,1356,2640,1356
65751,65851,2648,1360,2648,1360
65851,65951,2656,1364,2656,1364
65951,66051,2664,1368,2664,1368
66051,66151,2672,1372,2672,1372
66151,66251,2680,1376,2680,1376
66251,66351,2688,1380,2688,1380
66351,66451,2696,1384,2696,1384
66451,66551,2704,1388,2704,1388
66551,66651,2712,1392,2712,1392
66651,66751,2720,1396,2720,1396
66751,66851,2728,1400,2728,1400
66851,66951,2736,1404,2736,1404
66951,67051,2744,1408,2744,1408
67051,67151,2752,1412,2752,1412
67151,67251,2760,1416,2760,1416
67251,67351,2768,1420,2768,1420
67351,67451,2776,1424,2776,1424
67451,67551,2784,1428,2784,1428
67551,67651,2792,1432,2792,1432
67651,67751,2800,1436,2800,1436
67751,67851,2808,1440,2808,1441
67851,67951,2816,1444,2816,1447
67951,68051,2824,1448,2824,1453
68051,68151,2832,1452,2832,1459
68151,68251,2840,1456,2840,1465
68251,68351,2848,1460,2848,1471
68351,68451,2856,1464,2856,1477
68451,68551,2864,1468,2864,1483
68551,68651,2872,1472,2872,1489
68651,68751,2880,1476,2880,1495
68751,68851,2888,1480,2888,1501
68851,68951,2896,1484,2896,1507
68951,69051,2904,1488,2904,1513
69051,69151,2912,1492,2912,1519
69151,69251,2920,1496,2920,1525
69251,69351,2928,1500,2928,1531
69351,69451,2936,1504,2936,1537
69451,69551,2944,1508,2944,1543
69551,69651,2952,1512,2952,1549
69651,69751,2960,1516,2960,1555
69751,69851,2968,1520,2968,1561
69851,69951,2976,1524,2976,1567
69951,70051,2984,1528,2984,1573
70051,70151,2992,1532,2992,1579
70151,70251,3000,1536,3000,1585
70251,70351,3008,1540,3008,1591
70351,70451,3016,1544,3016,1597
70451,70551,3024,1548,3024,1603
70551,70651,3032,1552,3032,1609
70651,70751,3040,1556,3040,1615
70751,70851,3048,1560,3048,1621
70851,70951,3056,1564,3056,1627
70951,71051,3064,1568,3064,1633
71051,71151,3072,1572,3072,1639
71151,71251,3080,1576,3080,1645
71251,71351,3088,1580,3088,1651
71351,71451,3096,1584,3096,1657
71451,71551,3104,1588,3104,1663
71551,71651,3112,1592,3112,1669
71651,71751,3120,1596,3120,1675
71751,71851,3128,1600,3128,1681
71851,71951,3136,1604,3136,1687
71951,72051,3144,1608,3144,1693
72051,72151,3152,1612,3152,1699
72151,72251,3160,1616,3160,1705
72251,72351,3168,1620,3168,1711
72351,72451,3176,1624,3176,1717
72451,72551,3184,1628,3184,1723
72551,72651,3192,1632,3192,1729
72651,72751,3200,1636,3200,1735
72751,72851,3209,1640,3209,1741
72851,72951,3218,1644,3218,1747
72951,73051,3228,1648,3228,1753
73051,73151,3237,1652,3237,1759
73151,73251,3246,1656,3246,1765
73251,73351,3256,1660,3256,1771
73351,73451,3265,1664,3265,1777
73451,73551,3274,1668,3274,1783
73551,73651,3283,1672,3283,1789
73651,73751,3293,1676,3293,1795
73751,73851,3302,1680,3302,1801
73851,73951,3311,1684,3311,1807
73951,74051,3321,1688,3321,1813
74051,74151,3330,1692,3330,1819
74151,74251,3339,1696,3339,1825
74251,74351,3349,1700,3349,1831
74351,74451,3358,1704,3358,1837
74451,74551,3367,1708,3367,1843
74551,74651,3376,1712,3376,1849
74651,74751,3386,1716,3386,1855
74751,74851,3395,1720,3395,1861
74851,74951,3404,1724,3404,1867
74951,75051,3414,1728,3414,1873
75051,75151,3423,1732,3423,1879
75151,75251,3432,1736,3432,1885
75251,75351,3442,1740,3442,1891
75351,75451,3451,1744,3451,1897
75451,75551,3460,1748,3460,1903
75551,75651,3469,1752,3469,1909
75651,75751,3479,1756,3479,1915
75751,75851,3488,1760,3488,1921
75851,75951,3497,1764,3497,1927
75951,76051,3507,1768,3507,1933
76051,76151,3516,1772,3516,1939
76151,76251,3525,1776,3525,1945
76251,76351,3535,1780,3535,1951
76351,76451,3544,1784,3544,1957
